Hour,demand
1,0.613938919
2,0.587488036
3,0.572304881
4,0.560863134
5,0.556773688
6,0.560819629
7,0.573740538
8,0.590359349
9,0.601235535
10,0.619899069
11,0.631427826
12,0.648003132
13,0.650787436
14,0.657661185
15,0.669581484
16,0.692943531
17,0.719742452
18,0.744801183
19,0.729748543
20,0.712825198
21,0.705037849
22,0.691203341
23,0.664273906
24,0.629774645
1,0.601540068
2,0.585269294
3,0.573261986
4,0.571869834
5,0.573914557
6,0.57165231
7,0.586313408
8,0.616592709
9,0.637823023
10,0.658096232
11,0.67284434
12,0.687592448
13,0.689506656
14,0.692334464
15,0.696206386
16,0.703819716
17,0.730879666
18,0.776994692
19,0.765422431
20,0.735839206
21,0.712912207
22,0.685286696
23,0.656182024
24,0.619333507
1,0.592534586
2,0.574871661
3,0.563908466
4,0.558339859
5,0.556947707
6,0.566649265
7,0.584703733
8,0.610719568
9,0.634995214
10,0.658226747
11,0.685591229
12,0.705429392
13,0.715565997
14,0.711998608
15,0.708953276
16,0.716044549
17,0.74201688
18,0.787348821
19,0.768815801
20,0.743148003
21,0.719394414
22,0.694161664
23,0.66109806
24,0.627512399
1,0.598842774
2,0.588967197
3,0.57421909
4,0.57082572
5,0.575611242
6,0.598494736
7,0.64917776
8,0.699338728
9,0.734229531
10,0.746410859
11,0.754067693
12,0.766031497
13,0.771600104
14,0.768467763
15,0.762855651
16,0.772948751
17,0.794918646
18,0.833550857
19,0.811450448
20,0.79008962
21,0.753458627
22,0.722918298
23,0.691290351
24,0.648307666
1,0.621160707
2,0.604759419
3,0.588967197
4,0.588619159
5,0.593143653
6,0.619377012
7,0.663055773
8,0.714652397
9,0.746106326
10,0.759070739
11,0.767989211
12,0.773383799
13,0.771426085
14,0.768424258
15,0.76385626
16,0.776298617
17,0.799704168
18,0.838553902
19,0.819107283
20,0.795527713
21,0.775472026
22,0.743322022
23,0.69807709
24,0.65513791
1,0.626076742
2,0.606021056
3,0.60284521
4,0.605368485
5,0.603062734
6,0.61972505
7,0.662359697
8,0.718263291
9,0.744714174
10,0.758200644
11,0.760201862
12,0.766292526
13,0.762116071
14,0.755633864
15,0.753154094
16,0.766466545
17,0.793439485
18,0.842643348
19,0.813364657
20,0.788479944
21,0.767597668
22,0.745366745
23,0.703428174
24,0.658052728
1,0.628774036
2,0.612024711
3,0.599669364
4,0.596101975
5,0.598929783
6,0.622987906
7,0.665840077
8,0.719133386
9,0.747498477
10,0.76311668
11,0.759462281
12,0.756373445
13,0.746584878
14,0.734838597
15,0.724397459
16,0.73183677
17,0.773383799
18,0.834333942
19,0.826068041
20,0.802705995
21,0.777864787
